|EventID   |Status    |RequestTime    |EndTime   |TurnaroundTime |Pad        
|31        |D         |0              |4         |4              |A         
|0         |D         |2              |10        |8              |A         
|1         |L         |4              |12        |8              |A         
|3         |L         |8              |12        |4              |B         
|2         |L         |6              |14        |8              |A         
|4         |E         |10             |14        |4              |B         
|5         |E         |10             |16        |6              |A         
|6         |L         |10             |18        |8              |A         
|8         |L         |14             |20        |6              |A         
|9         |L         |16             |22        |6              |A         
|10        |L         |18             |24        |6              |A         
|7         |A         |12             |26        |14             |B         
|13        |L         |20             |26        |6              |A         
|11        |E         |20             |28        |8              |B         
|14        |L         |22             |28        |6              |A         
|12        |E         |20             |30        |10             |A         
|16        |L         |26             |32        |6              |A         
|17        |L         |28             |34        |6              |A         
|19        |E         |30             |36        |6              |A         
|20        |L         |30             |38        |8              |A         
|15        |A         |24             |40        |16             |B         
|21        |L         |32             |40        |8              |A         
|18        |E         |30             |42        |12             |B         
|22        |L         |34             |42        |8              |A         
|24        |L         |38             |44        |6              |A         
|25        |E         |40             |46        |6              |B         
|26        |E         |40             |46        |6              |A         
|27        |L         |40             |48        |8              |A         
|29        |L         |44             |50        |6              |A         
|23        |D         |36             |54        |18             |A         
|31        |L         |48             |56        |8              |A         
|28        |A         |42             |58        |16             |B         
|33        |E         |50             |58        |8              |A         
|30        |L         |46             |60        |14             |B         
|34        |L         |50             |60        |10             |A         
|32        |E         |50             |62        |12             |B         
|36        |L         |54             |62        |8              |A         
|35        |L         |52             |64        |12             |B         
|37        |L         |56             |64        |8              |A         
|40        |E         |60             |66        |6              |A         
|43        |L         |64             |68        |4              |A         
|41        |D         |60             |72        |12             |A         
|44        |L         |66             |74        |8              |A         
|38        |A         |58             |76        |18             |B         
|45        |L         |68             |76        |8              |A         
|39        |E         |60             |78        |18             |B         
|47        |E         |70             |78        |8              |A         
|48        |L         |70             |80        |10             |A         
|49        |L         |72             |82        |10             |A         
|50        |L         |74             |84        |10             |A         
|52        |L         |78             |86        |8              |A         
|54        |E         |80             |88        |8              |A         
|42        |A         |62             |90        |28             |B         
|55        |L         |80             |90        |10             |A         
|46        |E         |70             |92        |22             |B         
|56        |L         |82             |92        |10             |A         
|51        |L         |76             |94        |18             |B         
|57        |L         |84             |94        |10             |A         
|53        |E         |80             |96        |16             |B         
|58        |L         |86             |96        |10             |A         
|60        |E         |90             |98        |8              |B         
|59        |L         |88             |98        |10             |A         
|62        |L         |90             |100       |10             |B         
|61        |E         |90             |100       |10             |A         
|64        |L         |94             |102       |8              |B         
|63        |L         |92             |102       |10             |A         
|65        |L         |96             |104       |8              |B         
|66        |L         |98             |104       |6              |A         
|67        |E         |100            |106       |6              |B         
|69        |L         |100            |106       |6              |A         
|70        |L         |102            |108       |6              |A         
|71        |L         |104            |110       |6              |B         
|68        |E         |100            |110       |10             |A         
|72        |L         |106            |112       |6              |A         
|76        |L         |110            |114       |4              |A         
|74        |E         |110            |116       |6              |B         
|77        |L         |112            |116       |4              |A         
|78        |L         |114            |118       |4              |A         
|79        |L         |116            |120       |4              |A         
